cnae_name,cnae_formated_code,cnae_category,cnae_code
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",A,section,A
"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01,division,01
Produção de lavouras temporárias,01.1,group,011
Cultivo de cereais,01.11-3,class,01113
Cultivo de arroz,0111-3/01,subclass,0111301
Cultivo de milho,0111-3/02,subclass,0111302
Cultivo de trigo,0111-3/03,subclass,0111303
Cultivo de outros cereais não especificados anteriormente,0111-3/99,subclass,0111399
Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,01.12-1,class,01121
Cultivo de algodão herbáceo,0112-1/01,subclass,0112101
Cultivo de juta,0112-1/02,subclass,0112102
Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,0112-1/99,subclass,0112199
Cultivo de cana-de-açúcar,01.13-0,class,01130
Cultivo de cana-de-açúcar,0113-0/00,subclass,0113000
Cultivo de fumo,01.14-8,class,01148
Cultivo de fumo,0114-8/00,subclass,0114800
Cultivo de soja,01.15-6,class,01156
Cultivo de soja,0115-6/00,subclass,0115600
"Cultivo de oleaginosas de lavoura temporária, exceto soja",01.16-4,class,01164
Cultivo de amendoim,0116-4/01,subclass,0116401
Cultivo de girassol,0116-4/02,subclass,0116402
Cultivo de mamona,0116-4/03,subclass,0116403
Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,0116-4/99,subclass,0116499
Cultivo de plantas de lavoura temporária não especificadas anteriormente,01.19-9,class,01199
Cultivo de abacaxi,0119-9/01,subclass,0119901
Cultivo de alho,0119-9/02,subclass,0119902
Cultivo de batata-inglesa,0119-9/03,subclass,0119903
Cultivo de cebola,0119-9/04,subclass,0119904
Cultivo de feijão,0119-9/05,subclass,0119905
Cultivo de mandioca,0119-9/06,subclass,0119906
Cultivo de melão,0119-9/07,subclass,0119907
Cultivo de melancia,0119-9/08,subclass,0119908
Cultivo de tomate rasteiro,0119-9/09,subclass,0119909
Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,0119-9/99,subclass,0119999
Horticultura e floricultura,01.2,group,012
Horticultura,01.21-1,class,01211
"Horticultura, exceto morango",0121-1/01,subclass,0121101
Cultivo de morango,0121-1/02,subclass,0121102
Cultivo de flores e plantas ornamentais,01.22-9,class,01229
Cultivo de flores e plantas ornamentais,0122-9/00,subclass,0122900
Produção de lavouras permanentes,01.3,group,013
Cultivo de laranja,01.31-8,class,01318
Cultivo de laranja,0131-8/00,subclass,0131800
Cultivo de uva,01.32-6,class,01326
Cultivo de uva,0132-6/00,subclass,0132600
"Cultivo de frutas de lavoura permanente, exceto laranja e uva",01.33-4,class,01334
Cultivo de açaí,0133-4/01,subclass,0133401
Cultivo de banana,0133-4/02,subclass,0133402
Cultivo de caju,0133-4/03,subclass,0133403
"Cultivo de cítricos, exceto laranja",0133-4/04,subclass,0133404
Cultivo de coco-da-baía,0133-4/05,subclass,0133405
Cultivo de guaraná,0133-4/06,subclass,0133406
Cultivo de maçã,0133-4/07,subclass,0133407
Cultivo de mamão,0133-4/08,subclass,0133408
Cultivo de maracujá,0133-4/09,subclass,0133409
Cultivo de manga,0133-4/10,subclass,0133410
Cultivo de pêssego,0133-4/11,subclass,0133411
Cultivo de frutas de lavoura permanente não especificadas anteriormente,0133-4/99,subclass,0133499
Cultivo de café,01.34-2,class,01342
Cultivo de café,0134-2/00,subclass,0134200
Cultivo de cacau,01.35-1,class,01351
Cultivo de cacau,0135-1/00,subclass,0135100
Cultivo de plantas de lavoura permanente não especificadas anteriormente,01.39-3,class,01393
Cultivo de chá-da-índia,0139-3/01,subclass,0139301
Cultivo de erva-mate,0139-3/02,subclass,0139302
Cultivo de pimenta-do-reino,0139-3/03,subclass,0139303
"Cultivo de plantas para condimento, exceto pimenta-do-reino",0139-3/04,subclass,0139304
Cultivo de dendê,0139-3/05,subclass,0139305
Cultivo de seringueira,0139-3/06,subclass,0139306
Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,0139-3/99,subclass,0139399
Produção de sementes e mudas certificadas,01.4,group,014
Produção de sementes certificadas,01.41-5,class,01415
"Produção de sementes certificadas, exceto de forrageiras para pasto",0141-5/01,subclass,0141501
Produção de sementes certificadas de forrageiras para formação de pasto,0141-5/02,subclass,0141502
"Produção de mudas e outras formas de propagação vegetal, certificadas",01.42-3,class,01423
"Produção de mudas e outras formas de propagação vegetal, certificadas",0142-3/00,subclass,0142300
Pecuária,01.5,group,015
Criação de bovinos,01.51-2,class,01512
Criação de bovinos para corte,0151-2/01,subclass,0151201
Criação de bovinos para leite,0151-2/02,subclass,0151202
"Criação de bovinos, exceto para corte e leite",0151-2/03,subclass,0151203
Criação de outros animais de grande porte,01.52-1,class,01521
Criação de bufalinos,0152-1/01,subclass,0152101
Criação de equinos,0152-1/02,subclass,0152102
Criação de asininos e muares,0152-1/03,subclass,0152103
Criação de caprinos e ovinos,01.53-9,class,01539
Criação de caprinos,0153-9/01,subclass,0153901
"Criação de ovinos, inclusive para produção de lã",0153-9/02,subclass,0153902
Criação de suínos,01.54-7,class,01547
Criação de suínos,0154-7/00,subclass,0154700
Criação de aves,01.55-5,class,01555
Criação de frangos para corte,0155-5/01,subclass,0155501
Produção de pintos de um dia,0155-5/02,subclass,0155502
"Criação de outros galináceos, exceto para corte",0155-5/03,subclass,0155503
"Criação de aves, exceto galináceos",0155-5/04,subclass,0155504
Produção de ovos,0155-5/05,subclass,0155505
Criação de animais não especificados anteriormente,01.59-8,class,01598
Apicultura,0159-8/01,subclass,0159801
Criação de animais de estimação,0159-8/02,subclass,0159802
Criação de escargô,0159-8/03,subclass,0159803
Criação de bicho-da-seda,0159-8/04,subclass,0159804
Criação de outros animais não especificados anteriormente,0159-8/99,subclass,0159899
"Atividades de apoio à agricultura e à pecuária; atividades de
pós-colheita",01.6,group,016
Atividades de apoio à agricultura,01.61-0,class,01610
Serviço de pulverização e controle de pragas agrícolas,0161-0/01,subclass,0161001
Serviço de poda de árvores para lavouras,0161-0/02,subclass,0161002
"Serviço de preparação de terreno, cultivo e colheita",0161-0/03,subclass,0161003
Atividades de apoio à agricultura não especificadas anteriormente,0161-0/99,subclass,0161099
Atividades de apoio à pecuária,01.62-8,class,01628
Serviço de inseminação artificial em animais,0162-8/01,subclass,0162801
Serviço de tosquiamento de ovinos,0162-8/02,subclass,0162802
Serviço de manejo de animais,0162-8/03,subclass,0162803
Atividades de apoio à pecuária não especificadas anteriormente,0162-8/99,subclass,0162899
Atividades de pós-colheita,01.63-6,class,01636
Atividades de pós-colheita,0163-6/00,subclass,0163600
Caça e serviços relacionados,01.7,group,017
Caça e serviços relacionados,01.70-9,class,01709
Caça e serviços relacionados,0170-9/00,subclass,0170900
PRODUÇÃO FLORESTAL,02,division,02
Produção florestal - florestas plantadas,02.1,group,021
Produção florestal - florestas plantadas,02.10-1,class,02101
Cultivo de eucalipto,0210-1/01,subclass,0210101
Cultivo de acácia-negra,0210-1/02,subclass,0210102
Cultivo de pinus,0210-1/03,subclass,0210103
Cultivo de teca,0210-1/04,subclass,0210104
"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca",0210-1/05,subclass,0210105
Cultivo de mudas em viveiros florestais,0210-1/06,subclass,0210106
Extração de madeira em florestas plantadas,0210-1/07,subclass,0210107
Produção de carvão vegetal - florestas plantadas,0210-1/08,subclass,0210108
Produção de casca de acácia-negra - florestas plantadas,0210-1/09,subclass,0210109
Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas,0210-1/99,subclass,0210199
Produção florestal - florestas nativas,02.2,group,022
Produção florestal - florestas nativas,02.20-9,class,02209
Extração de madeira em florestas nativas,0220-9/01,subclass,0220901
Produção de carvão vegetal - florestas nativas,0220-9/02,subclass,0220902
Coleta de castanha-do-pará em florestas nativas,0220-9/03,subclass,0220903
Coleta de látex em florestas nativas,0220-9/04,subclass,0220904
Coleta de palmito em florestas nativas,0220-9/05,subclass,0220905
Conservação de florestas nativas,0220-9/06,subclass,0220906
