nacionality,nacionality_code
Brasileira,10
Naturalidade Brasileira,20
Argentina,21
Boliviana,22
Chilena,23
Paraguaia,24
Uruguaia,25
Venezuelano,26
Colombiano,27
Peruano,28
Equatoriano,29
Alemã,30
Belga,31
Britânica,32
Canadense,34
Espanhola,35
Norte-Americana,36
Francesa,37
Suíça,38
Italiana,39
Haitiano,40
Japonesa,41
Chinesa,42
Coreana,43
Russo,44
Portuguesa,45
Paquistanês,46
Indiano,47
Outras Latino-Americanas,48
Outras Asiáticas,49
Outras Nacionalidades,50
Outros Europeus,51
Guine Bissau (Guineense),52
Marroquino,53
Cubano,54
Sirio,55
Sul-Coreano,56
Bengalesa,59
Angolano,60
Congolês,61
Sul-Africano,62
Ganesa,63
Senegalesa,64
Norte-Coreana,65
Outros Africanos,70
Outros,80
IGNORADO,-1
