neighbourhood_sp,description,neighbourhood_sp_code
A ALVIM,Artur Alvim,1
A BRANCA,Agua Branca,2
A FRIA,Agua Fria,3
A FUNDA,Agua Funda,4
A RASA,Agua Rasa,5
A VL PRUDENT,Altos de Vila Prudente,6
ACLIMACAO,Aclimacao,7
AMERICANOPOL,Americanopolis,8
ANHANGUERA,Anhanguera,9
ARICANDUVA,Aricanduva,10
AT LAPA,Alto da Lapa,11
AT MOOCA,Alto da Mooca,12
AT PARI,Alto do Pari,13
AT PINHEIROS,Alto de Pinheiros,14
AT RIVIERA,Alto da Riviera,15
AV A ESPRAIA,Avenida Aguas Espraiadas,16
B ALIANCA,Bela Alianca,17
B BRANCO,Barro Branco,18
B FUNDA,Barra Funda,19
B NOVO,Brooklin Novo,20
B RETIRO,Bom Retiro,21
B VISTA,Bela Vista,22
BAL D CARLOS,Balneário Dom Carlos,23
BAL M PAULIS,Balneário Mar Paulista,24
BAL S FRANCI,Balneário São Francisco,25
BAL S JOSE,Balneário São Jose,26
BARONESA,Baronesa,27
BARRAGEM,Barragem,28
BELEM,Belem,29
BELENZINHO,Belenzinho,30
BOACAVA,Boacava,31
BORORE,Borore,32
BORTOLANDIA,Bortolandia,33
BRAS,Brás,34
BRASILANDIA,Brasilandia,35
BROOKLIN PAU,Brooklin Paulista,36
BSQ SAUDE,Bosque da Saude,37
BURGO PAULIS,Burgo Paulista,38
BUTANTA,Butanta,39
C A E CARVAL,Cidade Antonio Estevao de Carvalh,40
C ADEMAR,Cidade Ademar,41
C AMERICA,City America,42
C AUXILIADOR,Cidade Auxiliadora,43
C BANDEIRANT,Cidade dos Bandeirantes,44
C C S PAULO,Clube Campestre de São Paulo,45
C CENTENARIO,Cidade Centenario,46
C CESAR,Cerqueira Cesar,47
C CONTINENTA,Cidade Continental,48
C CPO KIBOM,Clube de Campo Kibom,49
C D'ABRIL,Cidade D'abril,50
C DOMITILA,Cidade Domitila,51
C DUTRA,Cidade Dutra,52
C ELISEOS,Campos Eliseos,53
C EMBIRA,Capao da Embira,54
C F P COLONI,Clube dos Funcionarios Publicos C,55
C F SEMANA,Cidade Fim de Semana,56
C GRANDE,Casa Grande,57
C IPAVA,Cidade Ipava,58
C JARDIM,Cidade Jardim,59
C JULIA,Cidade Julia,60
C KEMEL,Cidade Kemel,61
C LEONOR,Cidade Leonor,62
C LIDER,Cidade Lider,63
C M CEU,Cidade Mae do Ceu,64
C M JUNIOR,Cidade Munhoz Junior,65
C MEIO,Cipo do Meio,66
C MENINO,Chora Menino,67
C MONCOES,Cidade Moncoes,68
C N HELIOPOL,Cidade Nova Heliopolis,69
C N OPERARIA,Cidade Nitro Operaria,70
C N QUIMICA,Cidade Nitro Quimica,71
C N S MIGUEL,Cidade Nova São Miguel,72
C NAUTICA,Cidade Nautica,73
C PATRIARCA,Cidade Patriarca,74
C POPULAR,Cidade Popular,75
C REDONDO,Capao Redondo,76
C S FRANCISC,Cidade São Francisco,77
C S MATEUS,Cidade São Mateus,78
C S MIGUEL,Cidade São Miguel,79
C S S BARBAR,Cidade Satelite Santa Barbara,80
C SATELITE,Cidade Satelite,81
C SOCORRO,Capela do Socorro,82
C TIRADENTES,Cidade Tiradentes,83
C V ALTA,Casa Verde Alta,84
C V BAIXA,Casa Verde Baixa,85
C V MEDIA,Casa Verde Media,86
C VARGAS,Cidade Vargas,87
C VERDE,Casa Verde,88
CACHOEIRINHA,Cachoeirinha,89
CAMBUCI,Cambuci,90
CAMPININHA,Campininha,91
CANGAIBA,Cangaiba,92
CANINDE,Caninde,93
CANTAREIRA,Cantareira,94
CARANDIRU,Carandiru,95
CARRAO,Carrao,96
CATUMBI,Catumbi,97
CAXINGUI,Caxingui,98
CENTRO,Centro,99
CH 6 OUTUBRO,Chácara Seis de Outubro,100
CH BANDEIRAN,Chácara Bandeirantes,101
CH BELENZINH,Chácara Belenzinho,102
CH BSQ SUL,Chácara Bosque do Sul,103
CH C SUL,Chácara Cruzeiro do Sul,104
CH CALIFORNI,Chácara California,105
CH COCAIA,Chácara Cocaia,106
CH CORUJAS,Chácara das Corujas,107
CH D OLIVIA,Chácara Dona Olivia,108
CH ENCOSTO,Chácara do Encosto,109
CH ENSEADA,Chácara da Enseada,110
CH F GRANDE,Chácara Figueira Grande,111
CH FLORA,Chácara Flora,112
CH FLORIDA,Chácara Florida,113
CH GAIVOTA,Chácara Gaivota,114
CH INGLESA,Chácara Inglesa,115
CH ITAIM,Chácara Itaim,116
CH JAPONESA,Chácara Japonesa,117
CH JARAGUA,Chácara Jaragua,118
CH M TRINDAD,Chácara Maria Trindade,119
CH MAFALDA,Chácara Mafalda,120
CH MEYER,Chácara Meyer,121
CH MRO ALTO,Chácara Morro Alto,122
CH MTE ALEGR,Chácara Monte Alegre,123
CH MTE SOL,Chácara Monte Sol,124
CH N S APARE,Chácara Nossa Senhora Aparecida,125
CH N S B CON,Chácara Nossa Senhora do Bom Cons,126
CH NANI,Chácara Nani,127
CH P ALEGRE,Chácara Pouso Alegre,128
CH PAINEIRAS,Chácara das Paineiras,129
CH PAIVA,Chácara Paiva,130
CH PALMEIRAS,Chácara das Palmeiras,131
CH PIRAJUSSA,Chácara Pirajussara,132
CH S AMARO,Chácara Santo Amaro,133
CH S ANTONIO,Chácara Santo Antonio,134
CH S AZUL,Chácara Sonho Azul,135
CH S ETELVIN,Chácara Santa Etelvina,136
CH S HUBERTU,Chácara Santo Hubertus,137
CH S JOAO,Chácara São Joao,138
CH S LUIS,Chácara São Luis,139
CH S MARIA,Chácara Santa Maria,140
CH S SILVEST,Chácara São Silvestre,141
CH SANTANA,Chácara Santana,142
CH T MENINAS,Chácara Tres Meninas,143
CH TATUAPE,Chácara Tatuape,144
CH V ALEGRE,Chácara Vista Alegre,145
CH VOVO,Chácara Vovo,146
CHAPADA,Chapada,147
CJ BANCARIOS,Conjunto dos Bancarios,148
CJ H A E CAR,Conjunto Habitacional a e Carvalh,149
CJ H A HAIA,Conjunto Habitacional Aguia de Ha,150
CJ H B BC I,Conjunto Habitacional Barro Branc,151
CJ H B BC II,Conjunto Habitacional Barro Branc,152
CJ H B E GOM,Conjunto Habitacional Brigadeiro,153
CJ H B F LIM,Conjunto Habitacional Brigadeiro,154
CJ H B GRAND,Conjunto Habitacional Barreira Gr,155
CJ H C ALVES,Conjunto Habitacional Castro Alve,156
CJ H I ADVEN,Conjunto Habitacional Instituto A,157
CJ H I MONTE,Conjunto Habitacional Inacio Mont,158
CJ H J KUBIT,Conjunto Habitacional Juscelino K,159
CJ H J RURAL,Conjunto Habitacional Jova Rural,160
CJ H JD S BE,Conjunto Habitacional Jardim São,161
CJ H JD S FE,Conjunto Habitacional Jardim Sant,162
CJ H JD S FR,Conjunto Habitacional Jardim São,163
